from_city,to_city,min_travel_time_seconds,comment
Mumbai,Delhi,7200,2 hours
Delhi,Mumbai,7200,2 hours
Mumbai,Bangalore,5400,1.5 hours
Bangalore,Mumbai,5400,1.5 hours
Mumbai,Goa,3600,1 hour
Goa,Mumbai,3600,1 hour
Mumbai,Jaipur,7200,2 hours
Jaipur,Mumbai,7200,2 hours
Mumbai,Kerala,7200,2 hours
Kerala,Mumbai,7200,2 hours
Mumbai,Shimla,10800,3 hours
Shimla,Mumbai,10800,3 hours
Mumbai,Darjeeling,14400,4 hours
Darjeeling,Mumbai,14400,4 hours
Mumbai,Varanasi,10800,3 hours
Varanasi,Mumbai,10800,3 hours
Mumbai,Agra,10800,3 hours
Agra,Mumbai,10800,3 hours
Mumbai,Udaipur,7200,2 hours
Udaipur,Mumbai,7200,2 hours
Mumbai,Rishikesh,12600,3.5 hours
Rishikesh,Mumbai,12600,3.5 hours
Mumbai,Mysore,7200,2 hours
Mysore,Mumbai,7200,2 hours
Mumbai,Pondicherry,7200,2 hours
Pondicherry,Mumbai,7200,2 hours
Mumbai,Amritsar,10800,3 hours
Amritsar,Mumbai,10800,3 hours
Delhi,Bangalore,9000,2.5 hours
Bangalore,Delhi,9000,2.5 hours
Delhi,Goa,10800,3 hours
Goa,Delhi,10800,3 hours
Delhi,Jaipur,10800,3 hours
Jaipur,Delhi,10800,3 hours
Delhi,Kerala,10800,3 hours
Kerala,Delhi,10800,3 hours
Delhi,Shimla,10800,3 hours
Shimla,Delhi,10800,3 hours
Delhi,Darjeeling,14400,4 hours
Darjeeling,Delhi,14400,4 hours
Delhi,Varanasi,10800,3 hours
Varanasi,Delhi,10800,3 hours
Delhi,Agra,10800,3 hours
Agra,Delhi,10800,3 hours
Delhi,Udaipur,10800,3 hours
Udaipur,Delhi,10800,3 hours
Delhi,Rishikesh,10800,3 hours
Rishikesh,Delhi,10800,3 hours
Delhi,Mysore,10800,3 hours
Mysore,Delhi,10800,3 hours
Delhi,Pondicherry,12600,3.5 hours
Pondicherry,Delhi,12600,3.5 hours
Delhi,Amritsar,10800,3 hours
Amritsar,Delhi,10800,3 hours
Bangalore,Goa,7200,2 hours
Goa,Bangalore,7200,2 hours
Bangalore,Jaipur,10800,3 hours
Jaipur,Bangalore,10800,3 hours
Bangalore,Kerala,3600,1 hour
Kerala,Bangalore,3600,1 hour
Bangalore,Shimla,12600,3.5 hours
Shimla,Bangalore,12600,3.5 hours
Bangalore,Darjeeling,14400,4 hours
Darjeeling,Bangalore,14400,4 hours
Bangalore,Varanasi,10800,3 hours
Varanasi,Bangalore,10800,3 hours
Bangalore,Agra,10800,3 hours
Agra,Bangalore,10800,3 hours
Bangalore,Udaipur,10800,3 hours
Udaipur,Bangalore,10800,3 hours
Bangalore,Rishikesh,12600,3.5 hours
Rishikesh,Bangalore,12600,3.5 hours
Bangalore,Mysore,7200,2 hours
Mysore,Bangalore,7200,2 hours
Bangalore,Pondicherry,7200,2 hours
Pondicherry,Bangalore,7200,2 hours
Bangalore,Amritsar,12600,3.5 hours
Amritsar,Bangalore,12600,3.5 hours
Goa,Jaipur,10800,3 hours
Jaipur,Goa,10800,3 hours
Goa,Kerala,7200,2 hours
Kerala,Goa,7200,2 hours
Goa,Shimla,14400,4 hours
Shimla,Goa,14400,4 hours
Goa,Darjeeling,16200,4.5 hours
Darjeeling,Goa,16200,4.5 hours
Goa,Varanasi,12600,3.5 hours
Varanasi,Goa,12600,3.5 hours
Goa,Agra,12600,3.5 hours
Agra,Goa,12600,3.5 hours
Goa,Udaipur,10800,3 hours
Udaipur,Goa,10800,3 hours
Goa,Rishikesh,14400,4 hours
Rishikesh,Goa,14400,4 hours
Goa,Mysore,7200,2 hours
Mysore,Goa,7200,2 hours
Goa,Pondicherry,7200,2 hours
Pondicherry,Goa,7200,2 hours
Goa,Amritsar,14400,4 hours
Amritsar,Goa,14400,4 hours
Jaipur,Agra,10800,3 hours
Agra,Jaipur,10800,3 hours
Varanasi,Rishikesh,10800,3 hours
Rishikesh,Varanasi,10800,3 hours
Kerala,Pondicherry,7200,2 hours
Pondicherry,Kerala,7200,2 hours
Shimla,Darjeeling,14400,4 hours
Darjeeling,Shimla,14400,4 hours
Udaipur,Jaipur,10800,3 hours
Jaipur,Udaipur,10800,3 hours
Mysore,Kerala,7200,2 hours
Kerala,Mysore,7200,2 hours
Amritsar,Delhi,10800,3 hours
Delhi,Amritsar,10800,3 hours 
